url,node_type
https://www.ft.com/markets,.js-teaser-heading-link
https://www.reuters.com/markets,a
https://economictimes.indiatimes.com/topic/financial-markets,h2
https://www.hl.co.uk/shares/stock-market-news,strong
https://www.moneycontrol.com/news/business/markets/,a
https://www.business-standard.com/markets,a
https://eu.commercialappeal.com/news/,.p1-title-spacer
https://www.wsj.com/,.WSJTheme--headlineText--He1ANr9C
https://www.forbes.com/innovation/,.stream-item__title
https://edition.cnn.com/business,.vid-left-enabled
https://www.cnbc.com/world/?region=world,a
https://www.ibtimes.com/,a
https://www.economist.com/,a
https://www.thestreet.com/,.m-card--header-text
https://moneymorning.com/,.title
https://www.business-standard.com/,a
https://www.investmentweek.co.uk/,a
https://www.nytimes.com/section/business,a
https://www.nytimes.com/section/business,.e1xfvim30
https://timesofindia.indiatimes.com/business,a
https://saudigazette.com.sa/Business,a
https://mexiconewsdaily.com/,.entry-title
https://www.swissinfo.ch/eng/business,.si-teaser__title
https://mexicobusiness.news/,a
https://www.theverge.com/tech,a
https://gadgets.ndtv.com/news,.news_listing
